ID,CREATION_DT,BU,S_START_DT,S_END_DT,DEPTO,PRODUCT,PROCESS,MACHINE,SAMPLE_TIME_SPAN,TOTAL_PRODUCTION_TIME,BUILD_QTY,AVG_CT,AVAIL,PERF,YIELD,OEE
25504,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#4,450,334,68,4.91,.7418148148148148148148148148148148148133,1.2222277697338858654950322033052074492,.8676470588235294117647058823529411764706,.7866666666666666666666666666666666666659
25505,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#5,450,308,63,4.89,.68448148148148148148148148148148148148,1.2272063200043287700881986905470483199,.873015873015873015873015873015873015873,.733333333333333333333333333333333333334
25506,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#3,450,335,70,4.79,.7448148148148148148148148148148148148133,1.25310790651417205370462456489308801591,.8571428571428571428571428571428571428571,.7999999999999999999999999999999999999968
25507,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#2,450,249,51,4.89,.5541111111111111111111111111111111111178,1.22719069580910366954080609584920794063,.862745098039215686274509803921568627451,.5866666666666666666666666666666666666662
25508,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#7,450,72,11,6.56,.1602962962962962962962962962962962962963,.9149722735674676524953789279112754158961,.2727272727272727272727272727272727272727,.04
25516,28-JUL-15,4,04-JUN-15,04-JUN-15,Engines,all,Functional test,Functional#1,510,148,16,9.24,.2898692810457516339869281045751633986941,.649379932356257046223224351747463359636,.375,.0705882352941176470588235294117647058823
25595,28-JUL-15,4,31-MAY-15,31-MAY-15,Engines,all,Functional test,Functional#4,510,270,38,7.11,.5300980392156862745098039215686274509843,.8433512113926391714444238949509894581039,.5263157894736842105263157894736842105263,.2352941176470588235294117647058823529413
25596,28-JUL-15,4,31-MAY-15,31-MAY-15,Engines,all,Functional test,Functional#5,510,402,46,8.74,.7885294117647058823529411764705882352922,.6863110779559865721745617306975009324893,.7826086956521739130434782608695652173913,.423529411764705882352941176470588235294
25597,28-JUL-15,4,31-MAY-15,31-MAY-15,Engines,all,Functional test,Functional#3,510,339,67,5.06,.665130718954248366013071895424836601302,1.18508328010612686090502628605119638383,.7164179104477611940298507462686567164179,.5647058823529411764705882352941176470566
25598,28-JUL-15,4,31-MAY-15,31-MAY-15,Engines,all,Functional test,Functional#2,510,186,41,4.53,.364444444444444444444444444444444444451,1.32352941176470588235294117647058823527,.756097560975609756097560975609756097561,.3647058823529411764705882352941176470588
25599,28-JUL-15,4,31-MAY-15,31-MAY-15,Engines,all,Functional test,Functional#7,510,162,19,8.55,.3185294117647058823529411764705882352922,.7017543859649122807017543859649122807059,.2631578947368421052631578947368421052632,.0588235294117647058823529411764705882353
25613,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#1,510,243,39,6.24,.477320261437908496732026143790849673202,.9612488018622483910721621251540462823515,.5128205128205128205128205128205128205128,.2352941176470588235294117647058823529413
25614,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#4,510,326,43,7.57,.6385620915032679738562091503267973856255,.7922210849539406345957011258955987717448,.6279069767441860465116279069767441860465,.3176470588235294117647058823529411764707
25615,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#5,510,296,35,8.45,.5796732026143790849673202614379084967314,.7103393843725335438042620363062352012634,.8,.3294117647058823529411764705882352941175
25616,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#2,510,191,41,4.67,.3750326797385620915032679738562091503235,1.28616242593238062042523527361449982573,.8536585365853658536585365853658536585366,.4117647058823529411764705882352941176456
25617,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#7,510,118,13,9.08,.2315359477124183006535947712418300653588,.6605504587155963302752293577981651376164,.6153846153846153846153846153846153846154,.0941176470588235294117647058823529411764
25618,28-JUL-15,4,30-MAY-15,30-MAY-15,Engines,all,Functional test,Functional#3,510,342,66,5.19,.6713071895424836601307189542483660130706,1.1566546587479310680556907798656411255,.8636363636363636363636363636363636363636,.6705882352941176470588235294117647058816
25624,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#1,480,322,40,8.05,.6709722222222222222222222222222222222229,.7451873318153591388946387911405506106384,.625,.3124999999999999999999999999999999999998
25625,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#4,480,339,55,6.16,.7053472222222222222222222222222222222208,.9746972531259230087624298513340553313011,.7090909090909090909090909090909090909091,.4875000000000000000000000000000000000003
25626,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#5,480,310,47,6.59,.6454513888888888888888888888888888888875,.9102157189735865296680832750551401366413,.6382978723404255319148936170212765957447,.3749999999999999999999999999999999999998
25627,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#3,480,374,46,8.13,.7787152777777777777777777777777777777833,.7383956837740223837338921835287822713641,.8478260869565217391304347826086956521739,.4875
25628,28-JUL-15,4,29-MAY-15,29-MAY-15,Engines,all,Functional test,Functional#2,480,251,42,5.99,.5237152777777777777777777777777777777833,1.00245309288603063051117151760259895245,.4285714285714285714285714285714285714286,.2249999999999999999999999999999999999995
